"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"16345";"BU00981301";"BU00981301";"      80";"     160";"      90"
"16346";"BU00981302";"BU00981302";"      80";"     190";"      90"
"16347";"WK009814  ";"WK009814  ";"      70";"     180";"     130"
"16348";"BU00981401";"BU00981401";"      40";"      70";"      40"
"16349";"BU00981402";"BU00981402";"      30";"     110";"      80"
"16350";"WK009815  ";"WK009815  ";"     240";"     400";"     200"
"16351";"BU00981501";"BU00981501";"     180";"     310";"     160"
"16352";"BU00981502";"BU00981502";"      60";"      90";"      50"
"16353";"GM0614    ";"GM0614    ";"    2730";"    4880";"    3500"
"16354";"WK061400  ";"WK061400  ";"    1250";"    2300";"    1390"
"16355";"BU06140000";"BU06140000";"     310";"     410";"     270"
"16356";"BU06140001";"BU06140001";"       0";"      10";"      30"
"16357";"BU06140002";"BU06140002";"      30";"      60";"      80"
"16358";"BU06140003";"BU06140003";"     160";"     180";"     140"
"16359";"BU06140004";"BU06140004";"     420";"     740";"     390"
"16360";"BU06140005";"BU06140005";"     190";"     470";"     240"
"16361";"BU06140009";"BU06140009";"     140";"     420";"     240"
"16362";"WK061401  ";"WK061401  ";"    1470";"    2580";"    2110"
"16363";"BU06140100";"BU06140100";"     870";"    1640";"    1120"
"16364";"BU06140101";"BU06140101";"      10";"      10";"     160"
"16365";"BU06140102";"BU06140102";"      30";"      80";"      40"
"16366";"BU06140103";"BU06140103";"      30";"      90";"      70"
"16367";"BU06140104";"BU06140104";"     260";"     240";"     100"
"16368";"BU06140105";"BU06140105";"     110";"     220";"     240"
"16369";"BU06140106";"BU06140106";"      30";"      40";"      50"
"16370";"BU06140108";"BU06140108";"      10";"      20";"      10"
"16371";"BU06140109";"BU06140109";"     150";"     310";"     220"
"16372";"GM0189    ";"GM0189    ";"    4740";"    8580";"    4680"
"16373";"WK018900  ";"WK018900  ";"    2470";"    4540";"    2770"
"16374";"BU01890000";"BU01890000";"     250";"     430";"     250"
"16375";"BU01890001";"BU01890001";"      80";"     190";"     100"
"16376";"BU01890002";"BU01890002";"     490";"     840";"     290"
"16377";"BU01890003";"BU01890003";"     290";"     530";"     400"
"16378";"BU01890004";"BU01890004";"     470";"     890";"     460"
"16379";"BU01890005";"BU01890005";"     250";"     290";"     140"
"16380";"BU01890006";"BU01890006";"      40";"     160";"     150"
"16381";"BU01890007";"BU01890007";"     520";"     920";"     670"
"16382";"BU01890008";"BU01890008";"     100";"     290";"     320"
"16383";"WK018901  ";"WK018901  ";"     220";"     530";"     340"
"16384";"BU01890105";"BU01890105";"      60";"     120";"      90"
"16385";"BU01890106";"BU01890106";"       .";"       .";"       ."
"16386";"BU01890107";"BU01890107";"      50";"     150";"      60"
"16387";"BU01890108";"BU01890108";"      50";"     150";"      90"
"16388";"BU01890109";"BU01890109";"       .";"       .";"       ."
"16389";"WK018902  ";"WK018902  ";"     260";"     350";"     200"
"16390";"BU01890200";"BU01890200";"      50";"     110";"      50"
"16391";"BU01890209";"BU01890209";"     200";"     240";"     140"
"16392";"WK018903  ";"WK018903  ";"    1240";"    2000";"     890"
"16393";"BU01890300";"BU01890300";"       .";"       .";"       ."
"16394";"BU01890301";"BU01890301";"     360";"     730";"     320"
"16395";"BU01890302";"BU01890302";"     480";"     770";"     360"
"16396";"BU01890303";"BU01890303";"       .";"       .";"       ."
"16397";"WK018904  ";"WK018904  ";"     310";"     670";"     280"
"16398";"BU01890405";"BU01890405";"      20";"      80";"      20"
